,title,url_anime,date_published_anime,score_anime,rank_anime,members_anime,anime_exists,url,date_published,score,rank,members
145,Ten: Tenhou-doori no Kaidanji,,,,,,no,https://myanimelist.net/manga/3571/Ten__Tenhou-doori_no_Kaidanji,1989-01 - 2002-01,8.43,5,25926
146,Innocent Rouge,,,,,,no,https://myanimelist.net/manga/93699/Innocent_Rouge,2015-01 - 2020-01,8.43,2,28848
147,Eleceed,,,,,,no,https://myanimelist.net/manga/147171/Eleceed,2018-01,8.43,3,23593
148,No.6,,,,,,no,https://myanimelist.net/manga/26728/No6,2003-01 - 2011-01,8.43,4,121262
149,Horimiya,,,,,,no,https://myanimelist.net/manga/42451/Horimiya,2011-01 - 2021-01,8.42,5,335827
150,"Mata, Onaji Yume wo Miteita",,,,,,no,https://myanimelist.net/manga/110160/Mata_Onaji_Yume_wo_Miteita,2017-01 - 2018-01,8.42,2,821442
151,Hirano to Kagiura,,,,,,no,https://myanimelist.net/manga/119279/Hirano_to_Kagiura,2019-01,8.42,3,9472
152,After School Lessons for Unripe Apples,,,,,,no,https://myanimelist.net/manga/147448/After_School_Lessons_for_Unripe_Apples,2020-01,8.42,4,4136
153,Gunnm,,,,,,no,https://myanimelist.net/manga/768/Gunnm,1990-01 - 1995-01,8.41,5,583007
154,Saikyou Densetsu Kurosawa,,,,,,no,https://myanimelist.net/manga/3575/Saikyou_Densetsu_Kurosawa,2003-01 - 2006-01,8.37,1,625758
155,Kyoukaisenjou no Horizon,,,,,,no,https://myanimelist.net/manga/24464/Kyoukaisenjou_no_Horizon,2008-01 - 2018-01,8.37,2,186153
156,Youjo Senki,,,,,,no,https://myanimelist.net/manga/98436/Youjo_Senki,2016-01,8.37,5,27481
157,Mushishi Tokubetsu-hen: Hihamukage,,,,,,no,https://myanimelist.net/manga/62023/Mushishi_Tokubetsu-hen__Hihamukage,2013-01 - 2013-01,8.37,1,135733
158,Look Back,,,,,,no,https://myanimelist.net/manga/138673/Look_Back,2021-01 - 2021-01,8.37,2,191582
159,Watashi no Oshi wa Akuyaku Reijou.: Revolution,,,,,,no,https://myanimelist.net/manga/138424/Watashi_no_Oshi_wa_Akuyaku_Reijou__Revolution,2021-01,8.36,3,5060
160,Kininatteru Hito ga Otoko ja Nakatta,,,,,,no,https://myanimelist.net/manga/155861/Kininatteru_Hito_ga_Otoko_ja_Nakatta,2023-01,8.36,4,17946
161,Touhou Ibara Kasen: Wild and Horned Hermit.,,,,,,no,https://myanimelist.net/manga/21054/Touhou_Ibara_Kasen__Wild_and_Horned_Hermit,2010-01 - 2019-01,8.36,5,197890
162,The Breaker: New Waves,,,,,,no,https://myanimelist.net/manga/22651/The_Breaker__New_Waves,2010-01 - 2015-01,8.36,1,593149
163,Versailles no Bara,,,,,,no,https://myanimelist.net/manga/660/Versailles_no_Bara,1972-01 - 1973-01,8.36,2,317453
164,Kanata kara,,,,,,no,https://myanimelist.net/manga/923/Kanata_kara,1991-01 - 2003-01,8.36,3,315831
165,Homunculus,,,,,,no,https://myanimelist.net/manga/936/Homunculus,2003-01 - 2011-01,8.36,4,135951
166,Fate/strange Fake,,,,,,no,https://myanimelist.net/manga/83903/Fate_strange_Fake,2015-01,8.36,5,9603
167,Fate/strange Fake,,,,,,no,https://myanimelist.net/manga/83923/Fate_strange_Fake,2015-01,8.01,1,8712
168,Fate/strange Fake,,,,,,no,https://myanimelist.net/manga/83903/Fate_strange_Fake,2015-01,8.36,5,9603
169,Fate/strange Fake,,,,,,no,https://myanimelist.net/manga/83923/Fate_strange_Fake,2015-01,8.01,1,8712
170,Bleach: Can't Fear Your Own World,,,,,,no,https://myanimelist.net/manga/106602/Bleach__Cant_Fear_Your_Own_World,2017-01 - 2018-01,8.31,2,187336
171,Koko wa Ima kara Rinri desu.,,,,,,no,https://myanimelist.net/manga/106809/Koko_wa_Ima_kara_Rinri_desu,2016-01,8.31,3,26324
172,Sora wa Akai Kawa no Hotori,,,,,,no,https://myanimelist.net/manga/79/Sora_wa_Akai_Kawa_no_Hotori,1995-01 - 2002-01,8.31,5,223913
173,Shin Angyo Onshi,,,,,,no,https://myanimelist.net/manga/736/Shin_Angyo_Onshi,2001-01 - 2007-01,8.31,1,734819
174,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,,,,,,no,https://myanimelist.net/manga/7458/Death_Note_Another_Note__Los_Angeles_BB_Renzoku_Satsujin_Jiken,2006-01 - 2006-01,8.31,2,635380
175,Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,,,,,,no,https://myanimelist.net/manga/7776/Toaru_Majutsu_no_Index_Gaiden__Toaru_Kagaku_no_Railgun,2007-01,8.31,3,29006
176,Higurashi no Naku Koro ni Kai: Minagoroshi-hen,,,,,,no,https://myanimelist.net/manga/9548/Higurashi_no_Naku_Koro_ni_Kai__Minagoroshi-hen,2008-01 - 2010-01,8.31,4,11137
177,Doukyuusei,,,,,,no,https://myanimelist.net/manga/9699/Doukyuusei,2006-01 - 2007-01,8.31,5,739187
178,Love So Life,,,,,,no,https://myanimelist.net/manga/14236/Love_So_Life,2008-01 - 2015-01,8.31,1,559398
179,Tsubasa: RESERVoir CHRoNiCLE,,,,,,no,https://myanimelist.net/manga/9/Tsubasa__RESERVoir_CHRoNiCLE,2003-01 - 2009-01,8.3,2,979819
180,Paradise Kiss,,,,,,no,https://myanimelist.net/manga/29/Paradise_Kiss,1999-01 - 2003-01,8.3,3,352393
181,Blame!,,,,,,no,https://myanimelist.net/manga/149/Blame,1997-01 - 2003-01,8.3,4,152882
182,Hellsing,,,,,,no,https://myanimelist.net/manga/267/Hellsing,1997-01 - 2008-01,8.3,5,895620
183,Trigun Maximum,,,,,,no,https://myanimelist.net/manga/704/Trigun_Maximum,1997-01 - 2007-01,8.28,1,728911
184,Liar Game,,,,,,no,https://myanimelist.net/manga/1649/Liar_Game,2005-01 - 2015-01,8.28,3,113456
185,Komatta Toki ni wa Hoshi ni Kike,,,,,,no,https://myanimelist.net/manga/2459/Komatta_Toki_ni_wa_Hoshi_ni_Kike,1997-01 - 2005-01,8.28,4,57898
186,Kamigami no Itadaki,,,,,,no,https://myanimelist.net/manga/4625/Kamigami_no_Itadaki,2000-01 - 2003-01,8.28,5,314754
187,Dengeki Daisy,,,,,,no,https://myanimelist.net/manga/5255/Dengeki_Daisy,2007-01 - 2013-01,8.28,1,117926
188,Crows,,,,,,no,https://myanimelist.net/manga/5651/Crows,1990-01 - 1998-01,8.28,2,826497
189,Hana to Akuma,,,,,,no,https://myanimelist.net/manga/6520/Hana_to_Akuma,2007-01 - 2010-01,8.28,3,44167
190,Non Non Biyori,,,,,,no,https://myanimelist.net/manga/17552/Non_Non_Biyori,2009-01 - 2021-01,8.28,4,112080
191,No Home,,,,,,no,https://myanimelist.net/manga/147769/No_Home,2018-01,8.28,5,2371
192,Higurashi no Naku Koro ni Kai - Dai 2-wa: Tsumihoroboshi-hen,,,,,,no,https://myanimelist.net/manga/77573/Higurashi_no_Naku_Koro_ni_Kai_-_Dai_2-wa__Tsumihoroboshi-hen,2008-01 - 2008-01,8.28,1,81131
193,Tokyo Ghoul:re,,,,,,no,https://myanimelist.net/manga/81117/Tokyo_Ghoul_re,2014-01 - 2018-01,8.28,2,285902
194,Jigokuraku,,,,,,no,https://myanimelist.net/manga/112318/Jigokuraku,2018-01 - 2021-01,8.27,3,159460
195,Toradora!,,,,,,no,https://myanimelist.net/manga/7149/Toradora,2006-01 - 2009-01,8.27,4,927287
196,Magi,,,,,,no,https://myanimelist.net/manga/14790/Magi,2009-01 - 2017-01,8.27,5,149785
197,Ghost Hunt,,,,,,no,https://myanimelist.net/manga/158/Ghost_Hunt,1997-01 - 2010-01,8.24,1,15754
198,Genshiken,,,,,,no,https://myanimelist.net/manga/348/Genshiken,2002-01 - 2016-01,8.24,2,640532
199,Cat Street,,,,,,no,https://myanimelist.net/manga/1802/Cat_Street,2004-01 - 2007-01,8.24,3,733600
200,Hikari to Tomo ni...: Jiheishouji wo Kakaete,,,,,,no,https://myanimelist.net/manga/4258/Hikari_to_Tomo_ni__Jiheishouji_wo_Kakaete,2000-01 - 2009-01,8.24,4,95692
201,Koimonogatari,,,,,,no,https://myanimelist.net/manga/92252/Koimonogatari,2013-01,8.24,5,14726
202,Majo to Yajuu,,,,,,no,https://myanimelist.net/manga/106204/Majo_to_Yajuu,2016-01 - 2023-01,8.24,1,316090
203,Kaichou wa Maid-sama!: Marriage,,,,,,no,https://myanimelist.net/manga/103989/Kaichou_wa_Maid-sama__Marriage,2013-01 - 2018-01,8.23,2,816411
204,Feng Shen Ji II,,,,,,no,https://myanimelist.net/manga/43915/Feng_Shen_Ji_II,2011-01 - 2012-01,8.23,3,213485
205,Feng Shen Ji III,,,,,,no,https://myanimelist.net/manga/44711/Feng_Shen_Ji_III,2012-01 - 2014-01,8.23,4,410724
206,Yugami-kun ni wa Tomodachi ga Inai,,,,,,no,https://myanimelist.net/manga/62547/Yugami-kun_ni_wa_Tomodachi_ga_Inai,2012-01 - 2019-01,8.23,5,928379
207,Higurashi no Naku Koro ni - Dai 3-wa: Tatarigoroshi-hen,,,,,,no,https://myanimelist.net/manga/77465/Higurashi_no_Naku_Koro_ni_-_Dai_3-wa__Tatarigoroshi-hen,2007-01 - 2008-01,8.23,1,81526
208,Higurashi no Naku Koro ni Kai - Dai 3-wa: Minagoroshi-hen,,,,,,no,https://myanimelist.net/manga/77575/Higurashi_no_Naku_Koro_ni_Kai_-_Dai_3-wa__Minagoroshi-hen,2008-01 - 2008-01,8.23,2,81119
209,Shonan Junai Gumi!,,,,,,no,https://myanimelist.net/manga/445/Shonan_Junai_Gumi,1990-01 - 1996-01,8.23,3,621712
210,Hourou Musuko,,,,,,no,https://myanimelist.net/manga/585/Hourou_Musuko,2002-01 - 2013-01,8.23,4,329179
211,Eden: It's an Endless World!,,,,,,no,https://myanimelist.net/manga/731/Eden__Its_an_Endless_World,1997-01 - 2008-01,8.23,5,860105
212,H2,,,,,,no,https://myanimelist.net/manga/1014/H2,1992-01 - 1999-01,8.2,1,911232
213,Adolf ni Tsugu,,,,,,no,https://myanimelist.net/manga/1695/Adolf_ni_Tsugu,1982-01 - 1985-01,8.2,2,523363
214,Megumi no Daigo,,,,,,no,https://myanimelist.net/manga/5711/Megumi_no_Daigo,1995-01 - 1999-01,8.2,3,993192
215,Sengoku Youko,,,,,,no,https://myanimelist.net/manga/8070/Sengoku_Youko,2007-01 - 2016-01,8.2,4,618353
216,Dr. Stone,,,,,,no,https://myanimelist.net/manga/103897/Dr_Stone,2017-01 - 2023-01,8.2,5,191161
217,Kimetsu no Yaiba,,,,,,no,https://myanimelist.net/manga/96792/Kimetsu_no_Yaiba,2016-01 - 2020-01,8.19,1,439345
218,Mahou Shoujo Ikusei Keikaku,,,,,,no,https://myanimelist.net/manga/72353/Mahou_Shoujo_Ikusei_Keikaku,2012-01,8.19,2,5306
219,High Score Girl,,,,,,no,https://myanimelist.net/manga/44501/High_Score_Girl,2010-01 - 2018-01,8.19,3,818733
220,xxxHOLiC: Rei,,,,,,no,https://myanimelist.net/manga/46010/xxxHOLiC__Rei,2013-01 - 2017-01,8.19,4,713535
221,Fushigi Neko no Kyuu-chan,,,,,,no,https://myanimelist.net/manga/112694/Fushigi_Neko_no_Kyuu-chan,2018-01,8.19,5,7736
222,Gunnm: Last Order,,,,,,no,https://myanimelist.net/manga/770/Gunnm__Last_Order,2001-01 - 2014-01,8.19,1,424257
223,City Hunter,,,,,,no,https://myanimelist.net/manga/792/City_Hunter,1985-01 - 1991-01,8.18,2,115901
224,Koori no Mamono no Monogatari,,,,,,no,https://myanimelist.net/manga/1982/Koori_no_Mamono_no_Monogatari,1995-01 - 2003-01,8.18,3,34426
225,Touhou Shinigami: Meteor Methuselah Gaiden,,,,,,no,https://myanimelist.net/manga/10865/Touhou_Shinigami__Meteor_Methuselah_Gaiden,2004-01 - 2007-01,8.18,5,75420
226,Otouto no Otto,,,,,,no,https://myanimelist.net/manga/80375/Otouto_no_Otto,2014-01 - 2017-01,8.16,1,712765
227,Hidamari ga Kikoeru,,,,,,no,https://myanimelist.net/manga/84255/Hidamari_ga_Kikoeru,2013-01 - 2014-01,8.16,2,432082
228,Dai Densetsu no Yuusha no Densetsu,,,,,,no,https://myanimelist.net/manga/21784/Dai_Densetsu_no_Yuusha_no_Densetsu,2007-01,8.16,4,3026
229,No.6 Beyond,,,,,,no,https://myanimelist.net/manga/45885/No6_Beyond,2012-01 - 2012-01,8.16,5,124777
230,Ao Haru Ride,,,,,,no,https://myanimelist.net/manga/33297/Ao_Haru_Ride,2011-01 - 2015-01,8.15,1,525506
231,Feng Shen Ji,,,,,,no,https://myanimelist.net/manga/43913/Feng_Shen_Ji,2010-01 - 2011-01,8.15,2,126813
232,Doukyuusei: Gold Ring & Silver Ring,,,,,,no,https://myanimelist.net/manga/102703/Doukyuusei__Gold_Ring___Silver_Ring,2016-01 - 2016-01,8.15,3,168039
233,See You in My 19th Life,,,,,,no,https://myanimelist.net/manga/147062/See_You_in_My_19th_Life,2020-01 - 2022-01,8.15,4,229685
234,God Child,,,,,,no,https://myanimelist.net/manga/635/God_Child,2001-01 - 2003-01,8.15,1,319405
235,Sayonara Zetsubou Sensei,,,,,,no,https://myanimelist.net/manga/661/Sayonara_Zetsubou_Sensei,2005-01 - 2012-01,8.15,2,230683
236,Fushigi Yuugi: Genbu Kaiden,,,,,,no,https://myanimelist.net/manga/929/Fushigi_Yuugi__Genbu_Kaiden,2003-01 - 2013-01,8.15,3,312674
237,Shiawase Kissa 3-choume,,,,,,no,https://myanimelist.net/manga/1110/Shiawase_Kissa_3-choume,2004-01 - 2009-01,8.15,4,918783
238,JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu,,,,,,no,https://myanimelist.net/manga/1630/JoJo_no_Kimyou_na_Bouken_Part_2__Sentou_Chouryuu,1987-01 - 1989-01,8.15,5,105212
239,Gokushufudou,,,,,,no,https://myanimelist.net/manga/112922/Gokushufudou,2018-01,8.13,1,125988
240,A Stepmother's Märchen,,,,,,no,https://myanimelist.net/manga/131008/A_Stepmothers_Märchen,2019-01,8.13,2,14359
241,Romance 101,,,,,,no,https://myanimelist.net/manga/131799/Romance_101,2018-01 - 2021-01,8.13,3,215710
242,Hakumei to Mikochi,,,,,,no,https://myanimelist.net/manga/80841/Hakumei_to_Mikochi,2011-01,8.13,4,8377
243,Cardcaptor Sakura: Clear Card-hen,,,,,,no,https://myanimelist.net/manga/98374/Cardcaptor_Sakura__Clear_Card-hen,2016-01 - 2024-01,8.13,5,416646
244,Something About Us,,,,,,no,https://myanimelist.net/manga/96573/Something_About_Us,2014-01 - 2016-01,8.12,1,628242
